Force (kgs),Input Signal
0.0001,0
0.0000,0
-0.0002,0
-0.0001,0
-0.0000,0
0.0001,0
-0.0000,0
0.0000,0
-0.0001,0
0.0001,0
-0.0001,0
0.0001,0
0.0001,0
-0.0000,0
0.0000,0
0.0001,0
0.0001,0
0.0001,0
0.0001,0
0.0000,0
0.0001,0
0.0001,0
0.0002,0
-0.0001,0
-0.0000,0
-0.0000,0
0.0001,0
0.0000,0
0.0001,0
0.0001,0
0.0001,0
0.0000,0
0.0000,0
0.0002,0
0.0001,0
0.0001,0
-0.0001,0
0.0001,0
-0.0002,0
0.0000,0
0.0001,0
0.0001,0
0.0003,0
0.0000,0
0.0000,0
-0.0002,0
0.0001,0
-0.0000,0
-0.0000,0
0.0001,0
-0.0001,0
-0.0001,0
0.0000,0
0.0000,0
-0.0000,0
-0.0000,0
-0.0000,0
-0.0001,0
-0.0001,0
-0.0000,0
0.0001,0
0.0001,0
-0.0000,0
-0.0000,0
-0.0000,0
0.0000,0
0.0000,0
-0.0001,0
0.0001,0
0.0001,0
0.0001,0
0.0001,0
-0.0001,0
-0.0001,0
0.0000,0
0.0002,0
-0.0001,0
0.0001,0
0.0000,0
0.0002,0
0.0000,0
-0.0000,0
-0.0000,0
-0.0000,0
-0.0001,0
0.0000,0
0.0001,0
0.0001,0
0.0001,0
0.0000,0
-0.0001,0
-0.0000,0
0.0001,0
0.0000,0
0.0002,0
-0.0001,0
0.0000,0
-0.0001,0
0.0001,0
0.0002,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0000,0
0.0001,0
-0.0000,0
0.0000,0
0.0002,0
0.0001,0
0.0001,0
0.0002,0
0.0002,0
-0.0001,0
-0.0000,0
0.0003,0
0.0001,0
0.0000,0
0.0000,0
0.0002,0
0.0002,0
0.0001,1
0.0002,1
0.0005,1
0.0005,1
0.0009,1
0.0009,1
0.0015,1
0.0020,1
0.0025,1
0.0031,1
0.0043,1
0.0050,1
0.0057,1
0.0065,1
0.0074,1
0.0078,1
0.0083,1
0.0088,1
0.0093,1
0.0097,1
0.0100,1
0.0102,1
0.0109,1
0.0113,1
0.0115,1
0.0119,1
0.0127,1
0.0130,1
0.0135,1
0.0139,1
0.0144,1
0.0148,1
0.0152,1
0.0154,1
0.0159,1
0.0161,1
0.0165,1
0.0169,1
0.0174,1
0.0180,1
0.0186,1
0.0187,1
0.0191,1
0.0195,1
0.0198,1
0.0196,1
0.0195,1
0.0194,1
0.0194,1
0.0198,1
0.0199,1
0.0202,1
0.0203,1
0.0206,1
0.0209,1
0.0214,1
0.0216,1
0.0217,1
0.0217,1
0.0219,1
0.0221,1
0.0225,1
0.0226,1
0.0231,1
0.0232,1
0.0237,1
0.0241,1
0.0245,1
0.0247,1
0.0248,1
0.0249,1
0.0250,1
0.0252,1
0.0253,1
0.0254,1
0.0254,1
0.0255,1
0.0254,1
0.0255,1
0.0255,1
0.0257,1
0.0259,1
0.0262,1
0.0263,1
0.0265,1
0.0262,1
0.0264,1
0.0264,1
