Force (g),Input Signal
0.0281,0
0.0260,0
0.0296,0
0.0263,0
0.0299,0
0.0283,0
0.0263,0
0.0285,0
0.0280,0
0.0278,0
0.0224,0
0.0302,0
0.0307,0
0.0337,0
0.0349,0
0.0340,0
0.0379,0
0.0361,0
0.0349,0
0.0316,0
0.0457,0
0.0383,0
0.0398,0
0.0375,0
0.0426,0
0.0348,0
0.0401,0
0.0398,0
0.0501,0
0.0451,0
0.0417,0
0.0482,0
0.0493,0
0.0460,0
0.0517,0
0.0512,0
0.0575,0
0.0562,0
0.0581,0
0.0535,0
0.0571,0
0.0579,0
0.0535,0
0.0513,0
0.0475,0
0.0546,0
0.0520,0
0.0516,0
0.0563,0
0.0658,0
0.0611,0
0.0649,0
0.0654,0
0.0640,0
0.0674,0
0.0669,0
0.0637,0
0.0638,0
0.0690,0
0.0647,0
0.0701,0
0.0703,0
0.0730,0
0.0844,0
0.0800,0
0.0831,0
0.0854,0
0.0901,0
0.0899,0
0.0882,0
0.0833,0
0.0896,0
0.0864,0
0.0917,0
0.0935,0
0.0883,0
0.0899,0
0.0944,0
0.0972,0
0.0981,0
0.0960,0
0.1021,0
0.1039,0
0.1019,0
0.1061,0
0.1016,0
0.0978,0
0.0967,0
0.0952,0
0.0917,0
0.0928,0
0.0933,0
0.0946,0
0.0946,0
0.0938,0
0.0956,0
0.0991,0
0.0940,0
0.0978,0
0.0911,0
0.0959,0
0.0980,0
0.0934,0
0.0941,0
0.0926,0
0.0908,0
0.0933,0
0.0915,0
0.0940,0
0.0914,0
0.0934,0
0.0933,0
0.0959,0
0.0954,0
0.0976,0
0.0987,0
0.0974,0
0.1025,0
0.1004,0
0.0990,1
0.3439,1
1.0699,1
1.4858,1
1.8627,1
2.1943,1
2.6062,1
2.9013,1
3.1375,1
2.7504,1
3.1690,1
3.4330,1
3.7075,1
3.9815,1
4.3698,1
4.5759,1
4.7793,1
4.8777,1
5.1253,1
5.3766,1
5.5633,1
5.6229,1
5.6956,1
5.7998,1
5.8157,1
5.7807,1
5.8790,1
5.9263,1
5.8649,1
5.8049,1
5.6124,1
5.5380,1
5.4725,1
5.4022,1
5.3913,1
5.4296,1
5.5178,1
5.4078,1
5.1246,1
5.1205,1
5.1295,1
5.1272,1
5.2369,1
5.2375,1
5.1340,1
4.9183,1
4.9313,1
5.0628,1
5.1402,1
5.0808,1
5.0919,1
4.9744,1
5.0722,1
5.1490,1
4.9216,1
4.7278,1
4.6461,1
4.5363,1
4.5097,1
4.5490,1
4.6152,1
4.6875,1
4.6916,1
4.6578,1
4.6333,1
4.5999,1
4.5380,1
4.4936,1
4.4475,1
4.4689,1
4.7067,1
4.8184,1
5.0007,1
5.1551,1
5.0505,1
5.0964,1
5.0598,1
4.9995,1
5.0924,1
5.1748,1
5.2764,1
5.3923,1
5.5815,1
5.6784,1
5.6916,1
5.6750,1
5.4676,1
5.4528,1
5.5648,1
5.6479,1
5.8652,1
5.9137,1
5.9172,1
5.8460,1
5.8607,1
6.0599,1
6.2093,1
6.2736,1
6.2087,1
6.2560,1
6.3356,1
6.4237,1
6.3686,1
6.4815,1
6.6562,1
6.8614,1
7.1803,1
7.3646,1
7.4831,1
7.6346,1
7.9703,1
8.1224,1
8.1319,1
8.0404,1
7.9634,1
8.0885,1
8.2288,1
8.3153,1
8.2860,1
8.0628,1
7.7177,1
7.4719,1
7.2576,1
7.2435,1
7.2387,1
7.2354,1
7.3953,1
7.4435,1
7.5401,1
7.7296,1
8.0521,1
8.1472,1
8.2131,1
8.2799,1
8.3015,1
8.3576,1
8.3924,1
8.3855,1
8.1981,1
8.1064,1
8.1231,1
8.2423,1
8.0851,1
7.8262,1
7.7254,1
7.6385,1
7.5834,1
7.6293,1
7.5785,1
7.4581,0
6.2886,0
4.9775,0
3.9569,0
3.1269,0
1.8818,0
1.2819,0
0.8165,0
0.4825,0
0.3271,0
0.1223,0
-0.0412,0
-0.2049,0
-0.0659,0
-0.1851,0
-0.3031,0
-0.3927,0
-0.5216,0
-0.5874,0
-0.6406,0
-0.6819,0
-0.7632,0
-0.8260,0
-0.8811,0
-0.9253,0
-0.9793,0
-1.0175,0
-1.0396,0
-1.0714,0
-1.0954,0
-1.1060,0
-1.1110,0
-1.1207,0
-1.1239,0
-1.1360,0
-1.1452,0
-1.1463,0
-1.1493,0
-1.1602,0
-1.1607,0
-1.1751,0
-1.1716,0
-1.1751,0
-1.1741,0
-1.1791,0
-1.1727,0
-1.1775,0
-1.1774,0
-1.1759,0
-1.1780,0
-1.1781,0
-1.1781,0
-1.1755,0
-1.1693,0
-1.1728,0
-1.1718,0
-1.1649,0
-1.1674,0
-1.1692,0
-1.1632,0
-1.1601,0
-1.1599,0
-1.1617,0
-1.1569,0
-1.1570,0
-1.1565,0
-1.1523,0
-1.1525,0
-1.1496,0
-1.1501,0
